Motion,SSIM,Brightness
0.5135,0.6096,121.81
0.6294,0.4849,128.4
0.0,1.0,179.53
0.3373,1.0,127.5
0.1949,1.0,109.29
0.0799,1.0,109.24
0.0612,1.0,109.15
0.025,0.8575,109.16
0.0515,0.8575,109.28
0.032,0.8575,109.24
0.0601,0.8575,109.19
0.0622,0.8575,109.15
0.0311,0.8575,109.21
0.0624,0.9293,109.47
0.0567,0.9293,109.48
0.0196,0.9293,109.49
0.0171,0.9293,109.47
0.0168,0.9293,109.44
0.0386,0.9293,109.38
0.0144,0.9211,109.29
0.0473,0.9211,109.31
0.0315,0.9211,109.32
0.0174,0.9211,109.34
0.0156,0.9211,109.35
0.0239,0.9211,109.36
0.0228,0.9301,109.34
0.0169,0.9301,109.38
0.0184,0.9301,109.39
0.0153,0.9301,109.4
0.0293,0.9301,109.38
0.0608,0.9301,109.35
0.034,0.9331,109.37
0.0215,0.9331,109.41
0.0128,0.9331,109.4
0.0285,0.9331,109.33
0.0371,0.9331,109.33
0.0154,0.9331,109.34
0.0468,0.9329,109.3
0.0218,0.9329,109.33
0.0274,0.9329,109.37
0.0425,0.9329,109.32
0.056,0.9329,109.29
0.0349,0.9329,109.32
0.0213,0.9305,109.34
0.0191,0.9305,109.34
0.0238,0.9305,109.37
0.0538,0.9305,109.39
0.0468,0.9305,109.38
0.0224,0.9305,109.39
0.0194,0.9292,109.36
0.0515,0.9292,109.33
0.0279,0.9292,109.37
0.0236,0.9292,109.4
0.0219,0.9292,109.44
0.0201,0.9292,109.37
0.0316,0.9276,109.36
0.0216,0.9276,109.38
0.0171,0.9276,109.33
0.0408,0.9276,109.27
0.0732,0.9276,109.4
0.0613,0.9276,109.39
0.0259,0.9305,109.34
0.0312,0.9305,109.32
0.0205,0.9305,109.34
0.0167,0.9305,109.33
0.0133,0.9305,109.34
0.0158,0.9305,109.33
0.0645,0.9211,109.29
0.0887,0.9211,109.44
0.0231,0.9211,109.44
0.0211,0.9211,109.43
0.0479,0.9211,109.36
0.0216,0.9211,109.35
0.021,0.9256,109.36
0.0495,0.9256,109.32
0.0279,0.9256,109.3
0.083,0.9256,109.21
0.0491,0.9256,109.19
0.0219,0.9256,109.22
0.0445,0.9166,109.1
0.0394,0.9166,109.22
0.0377,0.9166,109.34
0.0222,0.9166,109.34
0.0203,0.9166,109.34
0.0592,0.9166,109.29
0.0239,0.9288,109.31
0.0268,0.9288,109.32
0.0135,0.9288,109.35
0.0492,0.9288,109.3
0.0258,0.9288,109.3
0.0846,0.9288,109.3
0.0642,0.9211,109.41
0.0828,0.9211,109.96
0.0245,0.9211,109.93
0.022,0.9211,109.96
0.0445,0.9211,109.89
0.0648,0.9211,109.86
0.0477,0.9203,109.8
0.02,0.9203,109.77
0.0262,0.9203,109.74
0.0332,0.9203,109.7
0.0761,0.9203,109.39
0.0433,0.9203,109.43
0.032,0.9229,109.46
0.0191,0.9229,109.46
0.0992,0.9229,109.29
0.6978,0.9229,116.47
0.8517,0.9229,124.66
0.7192,0.9229,120.52
0.7299,0.5446,130.66
0.6423,0.5446,131.44
0.6618,0.5446,132.19
0.6817,0.5446,132.47
0.6689,0.5446,131.45
0.6733,0.5446,131.24
0.6001,0.6107,130.94
0.8184,0.6107,126.99
0.8795,0.6107,127.3
0.6864,0.6107,123.4
0.6242,0.6107,123.82
0.6259,0.6107,123.14
0.5815,0.5343,126.86
0.5785,0.5343,126.78
0.567,0.5343,127.06
0.7601,0.5343,125.26
0.589,0.5343,124.32
0.6123,0.5343,125.99
0.6715,0.5514,129.46
0.6204,0.5514,129.12
0.8447,0.5514,120.74
0.6314,0.5514,120.47
0.6923,0.5514,125.38
0.7102,0.5514,127.61
0.7142,0.5176,123.02
0.6949,0.5176,120.65
0.7421,0.5176,120.65
0.7415,0.5176,119.55
0.6528,0.5176,121.99
0.7419,0.5176,125.64
